machine_id,plant,production_line,machine_type,shift,operator_experience_years,machine_age_years,ambient_temperature_c,humidity_pct,vibration_mm_s,hydraulic_pressure_bar,motor_current_a,rpm,production_rate_units_hr,defect_rate_pct,downtime_hours_30d,maintenance_count,days_since_maintenance,power_factor,oil_temperature_c,bearing_temperature_c,load_percent,noise_db,material_grade,lubricant_type,supplier_tier,inspection_status,batch_size,machine_energy_kwh,maintenance_risk
120183,Ahmedabad,L6,CNC,Afternoon,6.12,9.11,29.65,58.2,1.914,6.28,43.12,1921.6,98.8,2.862,0.92,3,,0.914,58.53,43.02,76.15,73.01,Recycled,Mineral,Tier2,Minor_Issue,930,63.95,High
116149,Pune,L2,Press,Night,8.48,8.62,22.39,41.78,2.453,7.62,38.62,2609.6,86.2,1.803,1.06,1,12.9,0.943,44.62,48.23,60.93,74.96,Standard,Mineral,Tier1,Pass,927,58.12,Low
120206,Hyderabad,L4,CNC,Night,1.28,0.79,29.2,47.59,5.245,6.72,32.53,1884.2,132.7,3.957,0.83,0,23.2,0.923,54.02,49.34,80.61,73.58,Premium,Bio,Tier1,Pass,1074,52.24,Low
117563,Ahmedabad,L1,Milling,Morning,5.17,3.78,31.01,57.53,4.105,8.09,39.52,3395.2,87.6,8.347,1.53,2,26.1,0.932,63.4,50.07,47.17,71.65,Standard,Mineral,Tier3,Pass,1143,59.91,Low
120015,Chennai,L2,Robot,Night,3.74,4.84,20.87,61.11,1.066,6.79,49.88,3796.9,142.5,10.115,0.13,1,25.0,0.828,48.87,35.44,97.84,76.32,,Synthetic,Tier2,Pass,54,82.84,Low
108800,Pune,L3,Lathe,Morning,5.13,4.31,29.01,98.0,4.701,8.9,32.29,3618.6,123.7,9.62,1.39,1,4.7,0.966,60.36,49.49,82.36,69.62,Premium,Synthetic,Tier2,Pass,830,54.44,Low
100370,Ahmedabad,L6,CNC,Afternoon,8.78,1.56,23.57,62.12,2.246,9.62,22.68,4141.3,86.0,5.504,0.7,1,82.9,0.906,49.18,40.33,72.4,71.22,Recycled,Mineral,Tier3,Rework,1003,32.33,Low
108115,Chennai,L5,Milling,Afternoon,7.93,9.95,23.95,71.06,1.755,7.01,40.16,3522.3,44.7,3.179,0.96,7,38.8,0.866,37.88,41.21,36.85,71.73,Premium,Synthetic,Tier1,Pass,812,52.34,Low
119972,Ahmedabad,L2,Press,Afternoon,10.26,4.59,36.74,61.66,2.118,9.39,26.83,2682.5,92.6,5.722,0.35,1,50.0,0.974,61.75,58.32,70.21,71.06,HighStrength,Synthetic,Tier3,Pass,909,49.17,Low
105515,Chennai,L2,Lathe,Afternoon,11.56,8.69,32.72,62.24,2.399,5.73,25.16,2279.4,115.7,6.311,1.14,4,27.8,0.914,54.9,48.88,75.67,69.25,Premium,Synthetic,Tier2,Pass,661,54.08,Low
113485,Pune,L6,CNC,Afternoon,0.2,9.96,23.89,75.6,3.934,7.98,45.53,3948.6,135.9,2.967,1.6,2,136.4,0.983,,44.01,80.06,76.63,HighStrength,Bio,Tier2,Pass,1168,70.97,High
100218,Chennai,L5,Milling,Afternoon,4.56,6.79,30.32,67.55,5.207,9.21,35.65,3363.4,144.7,1.114,1.71,2,33.8,0.939,60.96,50.98,88.38,67.26,Premium,Mineral,Tier2,Minor_Issue,1031,68.78,Medium
117403,Bengaluru,L1,Milling,Morning,11.08,6.93,33.83,76.43,1.14,9.25,32.12,2860.7,114.7,9.103,1.79,1,96.9,0.945,55.27,57.13,78.84,69.9,Recycled,Synthetic,Local,Minor_Issue,746,56.15,Medium
101504,Bengaluru,L5,Press,Afternoon,9.57,4.46,23.73,64.73,4.707,8.61,28.19,2372.0,157.7,1.639,0.6,1,148.5,0.858,52.46,44.66,95.13,71.91,HighStrength,Synthetic,Tier3,Pass,1036,56.91,Medium
120284,Chennai,L4,Compressor,Afternoon,8.84,2.7,38.24,45.83,0.568,3.52,27.16,3441.5,115.1,4.302,1.02,0,65.4,0.885,74.49,50.8,69.59,72.61,Standard,Synthetic,Local,Pending,355,47.37,Medium
115591,Bengaluru,L6,Compressor,Morning,20.0,12.68,30.02,51.35,2.935,7.2,32.53,2088.3,167.8,6.765,0.3,5,119.7,0.901,59.43,52.2,91.12,71.75,HighStrength,Mineral,Local,Minor_Issue,60,50.4,High
115119,Bengaluru,L3,Press,Afternoon,6.5,5.18,33.98,61.68,2.598,9.7,33.54,2085.1,154.9,4.25,0.37,0,36.5,0.878,69.43,53.27,91.41,73.94,Premium,Synthetic,Tier1,Pass,125,49.98,Medium
109964,Ahmedabad,L2,Robot,Afternoon,8.51,4.38,27.83,57.26,1.315,6.92,42.38,3561.1,52.0,6.471,0.96,2,16.8,0.906,61.17,48.2,48.69,71.91,Premium,Synthetic,Tier2,Pending,936,52.61,Low
120085,Ahmedabad,L1,Press,Night,9.04,10.56,28.35,63.09,0.58,7.09,37.47,2724.5,104.6,6.806,1.98,1,154.7,0.927,62.99,55.16,72.13,69.91,Standard,None,Tier1,Rework,721,59.73,High
115721,Ahmedabad,L5,Robot,Afternoon,5.45,8.78,25.4,60.03,1.132,6.6,17.43,2630.2,151.5,9.202,0.59,2,51.0,0.865,53.79,38.64,82.76,66.99,Recycled,Synthetic,Tier3,Pass,600,33.56,Low
101193,Ahmedabad,L5,Lathe,Night,5.03,7.18,25.82,51.27,1.48,10.66,37.23,3531.7,94.5,9.528,0.78,1,10.7,0.913,50.38,40.99,65.03,70.21,Standard,Synthetic,Tier1,Minor_Issue,840,53.75,Medium
107577,Ahmedabad,L5,Press,Morning,12.07,6.3,29.99,72.19,1.62,5.69,41.6,2915.2,143.7,8.033,5.0,0,57.9,0.853,54.05,43.7,61.67,73.88,Premium,Synthetic,Tier3,Pass,70,73.01,Low
103109,Chennai,L1,Lathe,Morning,1.1,8.65,25.81,48.12,2.19,6.82,54.51,1981.7,151.2,5.142,1.94,3,35.9,0.879,,46.22,85.65,71.81,Premium,Mineral,Tier3,Pass,1114,89.08,Low
115780,Pune,L6,Press,Night,5.56,10.43,26.0,45.67,2.344,7.97,22.66,2556.5,142.5,12.537,0.08,2,4.5,0.846,55.01,45.44,106.54,71.76,Standard,Synthetic,Tier1,Minor_Issue,1183,46.42,Low
103262,Hyderabad,L3,Press,Night,2.17,3.74,34.35,78.37,1.705,7.87,34.57,2471.3,126.9,2.695,0.4,1,,0.91,60.57,55.92,81.26,68.9,Standard,Bio,Tier3,Minor_Issue,52,45.04,Low
116994,Hyderabad,L2,Lathe,Morning,6.07,8.06,21.96,76.86,7.104,7.04,24.85,2882.3,154.2,4.845,2.85,1,78.9,0.935,54.55,43.41,94.76,70.02,HighStrength,Synthetic,Tier1,Pass,275,53.65,High
120046,Bengaluru,L6,CNC,Afternoon,7.57,7.62,29.3,70.22,1.367,6.01,35.17,3093.4,127.4,3.305,1.0,2,72.4,0.906,53.78,47.92,76.91,67.36,Standard,Synthetic,Tier1,Pending,991,58.87,Medium
106548,Bengaluru,L3,CNC,Morning,5.58,2.71,31.26,54.3,2.198,7.3,36.32,2450.4,107.3,4.953,0.41,0,105.6,0.929,61.11,47.33,78.14,69.9,Premium,Bio,Tier3,Pass,398,44.31,Medium
105091,Pune,L1,CNC,Afternoon,6.08,3.12,32.12,55.05,2.154,8.0,34.66,3435.0,122.8,8.959,1.36,1,45.4,0.973,55.32,44.62,86.8,74.26,Standard,Mineral,Tier1,Pass,231,54.47,Low
116267,Hyderabad,L3,CNC,Afternoon,10.59,5.44,28.29,73.68,3.323,8.11,29.71,2831.3,137.2,6.433,3.15,0,293.6,0.887,,50.17,83.18,68.66,Standard,Mineral,Tier1,Minor_Issue,940,46.85,High
121718,Pune,L1,Lathe,Afternoon,3.8,5.05,26.28,66.35,1.627,5.88,30.38,1860.7,128.4,1.898,1.81,1,17.9,0.959,54.02,36.36,90.93,69.43,Standard,Mineral,Tier3,Minor_Issue,1153,37.73,Medium
100222,Bengaluru,L3,Compressor,Night,7.55,3.42,22.44,44.71,1.114,8.18,32.81,2767.5,115.1,8.407,2.25,0,52.3,0.909,42.87,34.16,66.03,67.61,HighStrength,Synthetic,Tier1,Pass,799,49.61,Low
101053,Pune,L5,CNC,Morning,4.95,3.01,25.59,60.92,6.352,6.44,39.51,3206.2,95.8,4.745,1.56,1,1.0,0.945,52.61,52.75,71.61,73.6,Premium,Mineral,Local,Pass,1103,63.87,Low
115828,Ahmedabad,L1,CNC,Night,3.66,7.18,25.76,78.29,3.555,8.38,27.05,3377.5,288.23904809864626,2.256,1.11,0,4.2,0.983,60.49,43.95,81.82,74.07,Standard,Mineral,Tier2,,904,51.38,Low
120326,Hyderabad,L3,Robot,Morning ,7.77,5.16,38.58,67.05,2.235,7.83,26.5,2867.7,136.2,6.26,0.22,1,9.0,0.787,73.05,51.25,72.65,74.61,Standard,Mineral,Tier1,Pass,298,43.73,Low
104154,Bengaluru,L5,Press,Night,9.71,7.53,23.87,56.59,1.923,7.09,34.06,1989.1,133.4,8.541,6.13,2,74.5,0.95,46.34,40.04,84.76,70.25,Standard,Mineral,Local,Minor_Issue,555,61.31,Medium
110023,Pune,L2,Robot,Night,5.86,4.27,26.99,85.49,3.541,8.44,37.99,2666.7,131.6,12.352,0.27,2,40.5,0.875,51.79,46.89,79.75,71.45,Premium,Mineral,Tier2,Pass,448,62.44,Medium
111662,Pune,L6,Lathe,Morning,,6.02,28.57,37.28,3.092,7.34,51.92,2990.2,44.2,2.366,1.88,1,198.6,0.963,59.57,43.11,60.91,71.27,Premium,Synthetic,Tier3,Pass,934,83.93,High
117893,Ahmedabad,L2,Lathe,Night,8.28,9.36,22.25,,0.979,7.84,21.39,3301.3,145.9,5.702,2.76,3,146.1,0.883,46.62,41.41,95.88,74.6,HighStrength,Synthetic,Tier1,Pass,741,43.78,High
106021,Ahmedabad,L2,Robot,Night,9.06,7.23,22.01,87.88,3.044,6.12,31.3,2932.2,161.4,7.685,0.92,1,15.5,0.837,50.89,42.58,94.05,68.74,Recycled,Mineral,Tier1,Pass,725,50.74,Low
115394,Bengaluru,L1,Press,Afternoon,0.2,3.84,29.59,64.16,2.37,,23.49,3077.5,178.8,0.976,0.45,1,68.8,0.86,50.74,49.26,97.36,72.53,Standard,Synthetic,Local,Pass,278,52.8,Medium
119719,Ahmedabad,L3,Compressor,Afternoon,0.2,14.29,30.93,81.06,2.56,6.47,26.88,3246.2,107.7,4.961,0.2,1,11.4,0.985,57.43,35.65,66.18,72.13,Standard,Mineral,Tier2,Pass,883,41.69,Low
117404,Pune,L4,Milling,Afternoon,3.47,5.07,30.22,49.37,3.46,8.38,22.79,3717.3,147.1,4.421,0.7,1,105.7,0.929,47.78,47.24,75.97,72.7,Premium,Mineral,Local,Pass,480,45.9,High
119678,Bengaluru,L3,Press,Night,9.43,4.72,31.7,88.84,2.036,5.38,22.74,2389.0,142.0,3.371,0.28,0,18.1,0.936,55.87,56.74,74.48,71.58,Recycled,Mineral,Tier3,Pass,403,48.67,Low
100248,Pune,L1,Compressor,Morning,9.94,13.69,33.81,35.93,1.799,6.41,28.23,1953.4,200.0,1.399,2.28,6,6.3,0.91,51.48,53.48,81.42,73.66,Standard,Bio,Tier1,Pass,873,64.22,Low
106917,Pune,L6,Compressor,Night,11.39,1.79,30.11,98.0,3.215,6.72,39.95,3327.5,193.0,6.564,0.5,0,231.8,0.938,57.26,55.06,109.1,73.35,Recycled,Mineral,Tier2,Pass,1040,66.2,High
100045,Ahmedabad,L1,CNC,Afternoon,7.45,2.96,34.05,73.25,2.999,7.46,18.52,1769.0,153.7,5.608,0.01,2,338.5,0.904,49.39,,97.69,68.31,Standard,Mineral,Tier1,Pass,785,41.91,High
107773,Chennai,L1,Press,Afternoon,8.94,5.88,23.87,68.97,7.389,6.56,22.79,3162.4,136.3,3.506,1.8,0,86.6,0.921,52.42,44.4,92.56,80.71,Standard,Bio,Tier2,Rework,851,50.77,Low
112494,Ahmedabad,L5,Compressor,Night,5.24,6.19,34.23,82.72,1.105,8.44,46.48,2646.4,130.9,0.609,0.93,1,37.4,0.927,52.44,45.85,90.2,74.05,Recycled,None,Tier1,Minor_Issue,209,69.69,Low
104286,Chennai,L5,Robot,Afternoon,3.87,2.3,32.51,64.91,3.648,9.53,40.01,2319.2,86.8,2.921,2.35,0,67.5,0.838,61.84,54.42,64.72,77.65,Premium,Bio,Tier3,Rework,396,56.14,Medium
120466,Hyderabad,L3,Lathe,Afternoon,13.0,14.68,29.38,52.35,3.227,6.01,33.59,2803.0,144.4,5.476,3.11,3,17.9,0.909,60.07,43.18,87.03,69.47,HighStrength,Mineral,Tier3,Pass,130,62.03,Medium
107892,Ahmedabad,L2,Milling,Morning,13.24,8.0,28.46,57.38,1.453,6.93,39.94,2986.1,145.6,1.79,3.74,0,5.3,0.903,50.83,45.6,90.93,68.74,Standard,Mineral,Local,Pass,167,72.52,Low
119640,Hyderabad,L3,Compressor,Morning,1.4,5.95,30.74,61.91,1.267,7.19,13.1,1689.0,150.5,5.888,1.13,1,59.4,0.981,52.07,49.8,81.23,71.42,Standard,Synthetic,Tier3,Pass,1024,33.79,Low
116695,Ahmedabad,L4,Compressor,Night,3.92,6.6,30.3,29.67,1.092,8.27,30.27,2822.2,130.1,1.697,3.3,1,51.4,0.883,53.5,44.16,75.16,74.56,Standard,Mineral,Tier3,Minor_Issue,355,56.81,Low
112373,Chennai,L5,Milling,Morning,8.68,2.45,28.94,53.93,3.03,7.83,34.26,2833.1,96.2,6.948,2.54,0,15.4,0.854,53.96,45.82,69.22,71.93,Premium,Bio,Tier1,Minor_Issue,671,54.34,Low
116672,Ahmedabad,L6,Milling,Night,9.18,4.21,32.9,62.66,2.012,8.7,32.29,3308.8,124.9,4.594,0.85,1,13.4,0.876,63.8,53.01,80.28,69.08,Recycled,Mineral,Tier1,Pass,130,51.99,Low
119877,Ahmedabad,L2,Milling,Night,6.7,3.91,29.2,40.24,0.914,6.79,56.78,2813.2,89.2,8.417,1.0,1,21.0,0.839,66.9,49.13,74.67,67.5,Recycled,None,Tier2,Pass,683,92.17,Low
108475,Pune,L4,Press,Afternoon,5.39,8.7,22.7,58.82,2.079,6.67,30.77,2376.0,84.3,2.304,3.7,2,95.1,0.957,45.61,40.02,55.43,71.81,Recycled,Synthetic,Tier2,Pass,710,49.5,Medium
108584,Chennai,L2,Robot,Morning,6.27,3.87,25.87,49.6,4.515,6.72,22.22,2160.2,144.9,3.176,1.09,0,26.5,0.98,,,80.15,73.48,Standard,Synthetic,Tier3,Pass,853,46.33,Low
121155,Bengaluru,L6,Robot,Night,,3.83,28.02,68.8,1.657,,47.01,2567.5,88.0,15.494,2.38,0,14.1,0.94,61.23,47.84,56.06,78.11,Standard,Mineral,Local,Rework,867,71.39,Medium
107959,Chennai,L4,Milling,Morning,10.89,1.54,26.17,59.76,4.186,6.52,44.7,2417.6,167.7,2.762,1.09,1,75.0,0.988,57.03,50.16,90.43,70.73,Recycled,Synthetic,Tier1,Pass,1115,78.32,Medium
115146,Chennai,L1,Compressor,Night,9.84,7.28,32.45,77.82,1.339,7.58,13.57,3453.5,149.7,8.468,2.61,3,19.7,0.893,63.67,52.64,93.61,68.08,HighStrength,Mineral,Local,Pass,679,50.59,Low
112037,Bengaluru,L2,Milling,Night,5.36,6.35,29.03,58.28,3.753,9.94,35.85,3080.2,104.1,3.929,0.72,2,7.1,0.948,57.32,49.56,86.68,76.09,Recycled,Mineral,Tier1,Pass,449,46.32,Low
113772,Pune,L4,Press,Afternoon,8.46,6.34,31.34,53.53,0.687,6.43,33.13,3525.6,109.7,4.024,0.39,0,78.8,0.863,61.11,51.72,56.87,71.39,Standard,Bio,Tier1,Rework,663,54.91,Medium
117151,Ahmedabad,L5,CNC,Night,2.53,2.62,20.06,64.03,1.992,6.96,23.58,2537.0,171.5,5.652,1.76,0,138.6,0.913,45.57,42.81,88.97,68.05,Recycled,Synthetic,Tier3,Pass,409,50.31,Low
108883,Bengaluru,L5,Lathe,Night,4.26,0.86,26.96,58.33,2.343,6.11,17.72,2762.2,97.4,5.163,1.64,0,45.2,0.952,47.75,45.47,67.57,69.5,Premium,Bio,Tier1,Pass,313,29.12,Low
106872,Bengaluru,L6,Press,Afternoon,5.84,7.08,27.22,31.99,1.709,6.74,34.43,2552.2,120.3,18.0,1.85,0,6.6,0.906,57.52,47.18,89.67,74.13,Recycled,Synthetic,Tier2,Pass,144,54.1,Medium
119245,Bengaluru,L2,CNC,Afternoon,8.04,2.69,26.13,73.24,2.101,,32.95,2607.7,114.7,3.393,0.37,1,3.1,0.898,51.41,42.43,76.69,67.82,Standard,Mineral,Tier1,Pass,1101,43.91,Low
106426,Chennai,L3,Milling,Morning,0.2,5.35,30.72,50.52,1.277,7.11,24.65,3093.0,139.1,3.236,2.28,0,14.7,0.916,61.93,57.36,83.54,72.56,Premium,None,Tier2,Pass,291,44.75,Low
119921,Chennai,L3,Press,Night,6.59,4.65,30.36,49.63,2.756,7.66,29.74,2985.2,152.1,7.935,0.93,0,1.9,0.874,54.96,46.16,98.72,76.65,Premium,Mineral,Tier2,,1044,57.3,Low
108545,Pune,L6,CNC,Night,10.13,11.76,20.71,74.6,2.853,8.73,12.33,3293.9,135.8,15.236,0.12,1,137.9,0.855,41.7,48.57,87.44,74.96,Standard,Synthetic,Tier1,Rework,293,42.44,Medium
106272,Pune,L4,CNC,Morning,6.25,5.67,25.49,62.25,1.448,8.02,25.61,2127.2,83.4,8.871,2.04,0,45.8,0.882,58.32,48.26,52.71,74.22,Recycled,Bio,Tier1,Minor_Issue,1038,42.82,Low
114910,Hyderabad,L3,Lathe,Afternoon,4.87,2.33,29.88,55.85,2.757,6.5,40.65,3013.9,113.0,6.432,0.46,1,75.4,0.88,50.08,54.72,64.92,69.08,Recycled,Bio,Tier2,Pass,211,64.85,Medium
100829,Ahmedabad,L4,Milling,Afternoon,4.52,6.55,31.09,81.48,2.258,8.68,26.22,2870.8,136.1,7.129,1.52,1,7.2,0.925,52.01,41.65,82.3,70.72,Recycled,Mineral,Tier1,Pass,345,42.24,Low
113944,Chennai,L6,CNC,Morning,6.85,1.31,21.53,75.42,0.717,8.79,34.97,2051.8,126.8,13.981,0.37,0,,0.949,48.1,46.92,88.21,69.81,Recycled,Synthetic,Tier2,Pass,778,49.85,Medium
118300,Chennai,L3,Lathe,Night,8.1,3.42,28.71,61.66,3.107,5.97,30.83,2786.2,128.3,9.391,1.52,1,8.6,0.892,59.85,50.04,75.96,68.53,Premium,Mineral,Tier2,Pass,493,55.78,Low
107628,Ahmedabad,L5,CNC,Morning,7.25,4.8,31.81,82.77,0.891,,26.52,2509.3,128.8,5.438,0.67,0,91.9,0.914,59.97,51.35,81.14,72.32,Standard,Synthetic,Tier2,Pass,1045,44.86,Medium
107975,Hyderabad,L4,Milling,Morning,4.26,7.99,26.88,84.06,1.533,,24.26,3222.9,149.5,3.515,0.07,3,52.0,0.958,56.89,43.26,92.25,67.45,Recycled,Mineral,Local,Pass,1137,43.41,Low
110337,Bengaluru,L1,Press,Afternoon,0.85,6.42,29.97,71.87,3.579,7.04,29.87,2491.3,102.4,1.371,1.28,1,39.1,0.836,62.38,49.77,75.41,75.32,Standard,Mineral,Tier1,Minor_Issue,928,50.17,Low
113596,Bengaluru,L2,Press,Morning,9.92,10.11,29.79,94.03,1.721,9.27,31.09,2352.0,123.3,4.464,0.03,2,29.3,0.924,55.72,45.14,70.6,71.63,Standard,Mineral,Tier3,Pass,859,44.77,Low
